"subject" "activity" "..1"
1 "LAYING" 0.274347260646063
1 "LAYING" -0.0177434918458972
1 "LAYING" -0.108925032737064
1 "LAYING" -0.607783818968688
1 "LAYING" -0.510191378479501
1 "LAYING" -0.61306429934125
1 "LAYING" 0.669226222373046
1 "LAYING" 0.00403879092060517
1 "LAYING" 0.0921508600211059
1 "LAYING" -0.965207115039421
1 "LAYING" -0.95440802665318
1 "LAYING" -0.938900969424022
1 "LAYING" 0.0789381220355816
1 "LAYING" 0.0079481069090025
1 "LAYING" -0.00467469823628666
1 "LAYING" -0.63978102073413
1 "LAYING" -0.607971599340832
1 "LAYING" -0.762820240449202
1 "LAYING" -0.0309824871713436
1 "LAYING" -0.0747194855994359
1 "LAYING" 0.088357304227173
1 "LAYING" -0.721192598029789
1 "LAYING" -0.682653506899942
1 "LAYING" -0.653665674372188
1 "LAYING" -0.0967092754729682
1 "LAYING" -0.0423181079782632
1 "LAYING" -0.0548303497968374
1 "LAYING" -0.731348533131935
1 "LAYING" -0.786062320321895
1 "LAYING" -0.739932395222129
1 "LAYING" -0.54822165976717
1 "LAYING" -0.591225327146546
1 "LAYING" -0.54822165976717
1 "LAYING" -0.591225327146546
1 "LAYING" -0.649417950650692
1 "LAYING" -0.627762945785391
1 "LAYING" -0.60524856977632
1 "LAYING" -0.662533062898382
1 "LAYING" -0.762137610987416
1 "LAYING" -0.77799317279698
1 "LAYING" -0.622761658493734
1 "LAYING" -0.53749328145871
1 "LAYING" -0.665033506271952
1 "LAYING" -0.603356276555826
1 "LAYING" -0.528420009576204
1 "LAYING" -0.617874813333395
1 "LAYING" -0.656713524546605
1 "LAYING" -0.628961179980356
1 "LAYING" -0.743608246170053
1 "LAYING" -0.654979816705833
1 "LAYING" -0.612243590244114
1 "LAYING" -0.780928428167213
1 "LAYING" -0.672094306818974
1 "LAYING" -0.70621663959074
1 "LAYING" -0.644192752866115
1 "LAYING" -0.738594816501343
1 "LAYING" -0.674226934551517
1 "LAYING" -0.690446312501126
1 "LAYING" -0.585962696268539
1 "LAYING" -0.659531216655476
1 "LAYING" -0.620789916331592
1 "LAYING" -0.640076803144351
